,I usually know all the new and emerging music artists,A music artist's social channels are the most important place for me to check in on,I don’t really think about whether or not news organizations have accurate or unbiased information,I use social media for flirting and dating,My friends are more important to me than my family,"I am eager to see my favorite artists’ video updates on social media (e.g. Vlog, Instagram Story, Snapchat etc.)",I like to discover new artists before my friends,President Obama is the worst President in US history,It isn't fair to bring up young children in a big city,It is perfectly normal if a man wears women's clothes or vice versa,Success in America is more a result of hard work rather than good fortune (having connections and good background),The government is hiding what really happened on 9/11,I think it’s fine if college athletes lose their scholarships when they get hurt and can’t play anymore,People worry too much about the environment,Politics (General Interests),The world would be a better place without smartphones,It is more ethical to be vegetarian,National news,My faith is important to me,"I have been known to ""stalk"" someone on social media","Whilst watching TV, I search the internet for products I see advertised",Family over everything,I would pay for access to magazine content online,I like to go on vacation where activities are organized for me,Anyone who watches Fox News for news is dumb,I don't care what my carbon footprint is,"Across history, religion has done more bad than good",I have never left the country,Transgender people are just confused,I prefer watching TV on my laptop or tablet,cluster
7 days in entebbe,-0.09280050634771742,-0.07950035320455029,-0.05874775670821933,-0.042886794857053684,-0.0043782296225996775,-0.07973505562064429,-0.08649262319493817,0.06990745382918873,0.04029682890223926,-0.03338453152342424,0.05153705989864582,-0.0783699347750447,-0.0006410491127765705,0.04909037305079697,0.10110560267054744,-0.004411516254724024,-0.02603069109945394,0.06318069960895617,0.02700777417479902,-0.0266998283206,-0.09164041958934199,-0.03818032850191028,-0.02115435154996681,-0.054949365249729876,-0.016999405654581745,0.07679977956543538,-0.032854903170060706,-0.056197399509474444,0.0052074005353314745,-0.05605035408655107,9
a simple favor,0.03849325987356039,0.02247401649959828,0.07754434060969989,0.06810546953353402,0.05630104124396319,0.046429949594619005,0.031000634280760497,0.007096829462773291,-0.014726865640229486,0.029150606421876404,-0.0190766148206752,0.01239986898285983,0.024284469165030645,-0.015371874542987204,-0.04292606231909177,-0.013479155374852503,0.013927313457161972,-0.03822830843580999,-0.006803036740551799,0.05662269276572007,0.04559281821455355,-0.05509450894497006,0.0408471755200155,0.029532708969961297,0.02158358805616309,0.03696412235682178,0.018378892982842815,-0.00037910491694437276,0.011691813564960518,0.0649005589355675,3
bad samaritan,0.030043093634627094,0.054527642942181265,0.07410867492755879,0.05839941907273699,0.05146508134166056,0.027151900360892517,0.0377204276003027,0.0402504984879411,0.02644166351974775,0.034636456381814784,0.02262879440730803,0.03660204912365128,0.06956961588064586,0.0466852990921047,-0.01816812150070296,0.06537638939164062,0.031368581669061424,-0.018949732342974313,0.025638790389582222,0.008111940415470198,0.06069413345935426,0.0376369172927227,0.06088367671013045,0.031090916015801995,-0.00773722484568326,0.02640519117959264,0.022897779812996732,0.06989348567786913,0.01879985349255403,0.03082316544379332,1
bad times at the el royale,0.012265404627887999,0.002583822684301268,0.0011185825924960868,0.053086123638140914,0.03697151341023938,0.018618419649668858,0.014811854005903,-0.034673201530172615,0.028311044854516132,0.04017304697778348,-0.026980536719386106,0.005208765195347215,0.009500147602174852,-0.015812865350338157,0.010013297277842476,0.008840218663153543,0.03893170459175341,-0.0015821342181403242,-0.028207747474620903,0.047057786014376796,0.01913676867532653,0.0058417652158815475,0.047927221835134176,0.004739746277830734,0.031860375788393985,0.0016511879013328956,0.029530278070140387,0.018433180716067088,0.003076953071357691,0.053415730270842704,5
beirut,0.018015752447401667,0.02255639601735085,0.01843181718850162,0.049916290004969,0.04911810332424574,0.000788533640512068,0.018789586460736807,0.02629905020679632,0.019648232525385056,0.006344994734014425,-0.00278052695883535,0.037889627705343654,0.05714386777413871,0.04771240388593129,0.01826428365610752,0.04170623428302897,0.09041294061508642,0.00873927301767441,-0.0021989622298596717,0.09646081040537222,0.008150229103812648,0.007270024952792747,0.11724109494856513,0.006806714554249971,0.04056877002079998,0.04872564322982362,0.04567582385810007,0.0010032561092521153,0.02604776984751314,0.0370619510382742,3
chappaquiddick,-0.05434754136332051,-0.06149940736780754,-0.04327400359238898,-0.06641286189093368,0.025036296740659547,-0.052597850239257254,-0.026538942763963597,0.1062794391140384,0.06738417683482273,-0.05396261257551968,0.014669250068091139,-0.07256896511925631,0.03073102711338685,0.06449078414203924,0.1063518688056691,0.009334106070551407,-0.02492505646260232,0.046988318697122416,0.018920310052710512,-0.05376911533533285,-0.018103323102367813,0.0018474279371898938,-0.029855064315883972,-0.05228018259384845,-0.05166347579124492,0.07721973963639092,-0.0672607666159869,-0.05707206107424348,0.06030976317685771,-0.063005449139791,9
dogman,0.03917764306120314,0.043485572565311104,0.08666221959748432,0.08922424174877369,0.07940900511621207,0.047274036626719695,0.010240966806817256,0.08117847208458567,0.07481616880341074,-0.012663477700157535,0.007816360212434842,0.030590794038455715,0.06823087611103695,0.07148931630030267,-0.04495872841616233,0.05522203965667116,-0.017525012462779432,-0.01662860508563438,0.01678584315431564,0.0521760011019928,0.03999349152382847,0.02374065924185159,0.05123576762038505,0.014113482643919414,-0.00807926622677807,0.07829975548471185,0.00267114537813877,0.05091008987401771,0.04590408708859911,0.034296832472162794,1
greta,0.041671263282740595,0.015358177852645483,0.05232099839660137,0.041633992874547554,0.0627354363501047,0.04040301807480659,0.032126922402860525,0.05459376893016518,0.043303897239735434,0.04669590678868682,0.015387031719899552,0.02753285306992026,0.07569433818147203,0.02248132324046434,-0.018422316506163522,0.025364873035382485,0.052039274670116376,-0.036689309916276586,-0.0038675650423272423,0.035720667646913395,0.033891821559137336,-0.005732309814765524,0.032812877860780965,0.025689624526168908,0.02797263756522758,0.04453563752696604,0.0059348654606203866,0.01962970407853426,0.025034107981051157,0.0018251716088264064,3
hotel artemis,0.03919283834494025,0.04003899673061376,0.0053900089155806685,0.026727709922180987,0.019816756383357836,0.016986785938469223,0.030778681312647715,0.03199134013052152,0.023021102119696962,0.0009466373868307898,0.0008167722073968708,0.0012435048603908483,0.0589107083420336,0.006424304487384458,-0.0028750906998308845,0.012076705142109068,0.00034749051194599145,0.0074406128305963826,0.014648595931303188,0.0277030881573454,0.0038845116320471718,-0.039361122402875495,0.04027281909721103,-0.005412419640384886,0.04046791333331279,0.049700800099046955,0.013079351901818081,0.0024760439080989682,0.011014017606207516,0.0005654638799805212,3
hunter killer,0.027764827610048892,0.021001583650730876,0.06285451667720893,0.07907544947556026,0.07118683422132649,0.032369147830552406,0.028033526019061894,0.024748221738674636,0.05010304963972226,0.0035195816933533686,0.05518701080541508,0.021903308671295446,0.04110499987625155,0.0452777676473087,-0.026622097886850216,0.039700906722928475,0.02260942326398449,-0.03267082660772799,0.027199946696454508,0.026862643896972405,0.016729909799343412,0.026752693974581965,0.03893425356415858,0.01652201826872572,-0.010030014843803697,0.03424687154766069,0.03632263019101299,0.015546915461428668,0.04071235457509091,0.009091637933276109,1
peppermint,0.046437115946969656,0.0814978500334349,0.04060539910733639,0.04461912948537508,0.027569143238954513,0.09766413374866573,0.03491140627908064,0.06558854107778073,0.04323317499987525,0.019745664575831906,0.038204039318780275,0.03901887850327705,0.03908191269892594,0.06609071542677697,-0.0486942989245589,0.05409416777613962,0.04098091759403538,-0.027178150937163498,0.0667540226708784,0.026791602959852306,0.04767746054339808,0.016425445734382663,0.05260777354796113,0.07015006784468003,-0.01878562267666864,0.04957273608921717,0.017747611543815933,0.046909446490411205,0.04009565536277537,0.0014457643186214508,1
